student_id,age_at_enrollment,gender,marital_status,scholarship_holder,debtor,tuition_fees_up_to_date,curricular_units_sem1_enrolled,curricular_units_sem1_approved,curricular_units_sem2_enrolled,curricular_units_sem2_approved,gpa_sem1,gpa_sem2,family_income_inr,attendance_pct,failed_courses,dropout
STU00001,25.0,Male,Divorced,0.0,0.0,1.0,4.0,3.0,0.0,0.0,15.2,8.68,576069.0,63.45,0.0,-2.021556820563342
STU00002,-3.7271988342651987,Male,Single,,0.0,1.0,5.0,4.0,1.0,0.0,11.66,18.77,685739.0,24.48,1.0,0.0
STU00003,26.0,Female,Single,1.0,0.0,1.0,2.0,2.0,8.0,8.0,13.46,12.55,311099.0,80.67,2.0,0.0
STU00004,30.0,Male,Single,0.0,,1.0,0.0,0.0,0.0,0.0,9.56,10.68,72059.0,94.96,4.0,1.0
STU00005,27.0,Female,Single,0.0,0.0,1.0,8.0,8.0,0.0,0.0,9.81,14.71,168503.0,82.48,5.0,1.0
STU00006,31.0,Female,Single,1.0,0.0,1.0,6.0,-11.385386943879176,3.0,0.0,12.36,10.68,523973.0,92.13,5.0,0.0
STU00007,32.0,Female,Single,0.0,0.0,1.0,7.0,5.0,1.0,0.0,14.28,19.92,50000.0,100.0,2.0,0.0
STU00008,19.0,Male,Married,1.0,,1.0,1.0,0.0,1.0,0.0,10.26,10.78,244235.0,38.66,4.0,0.0
STU00009,29.0,Female,Single,1.0,0.0,1.0,-10.544123496197873,8.0,1.0,0.0,20.0,15.2,50000.0,60.71,4.0,0.0
STU00010,18.0,Female,Single,1.0,1.0,1.0,1.0,0.0,-7.651559858482242,0.0,15.94,7.74,1117838.0,68.5,1.0,0.0
STU00011,26.0,Male,Married,1.0,1.0,0.0,9.0,7.0,6.0,3.0,8.48,12.02,333191.0,75.44,4.0,1.0
STU00012,17.0,Male,Single,,0.0,1.0,6.0,5.0,2.0,0.0,-18.55583698544998,10.8,174118.0,73.79,3.0,0.0
STU00013,33.0,Female,Single,1.0,0.0,1.0,2.0,0.0,4.0,-13.317735144718798,10.12,1.28,299755.0,80.7,14.926764299541329,0.0
STU00014,17.0,Male,Single,0.0,0.0,1.0,8.0,6.0,8.0,7.0,11.22,,606141.0,75.89,5.0,1.0
STU00015,23.0,Male,Divorced,0.0,1.0,1.0,8.0,7.0,4.0,1.0,8.26,8.57,111414.0,63.28,1.0,1.0
STU00016,32.0,Male,Single,0.0,-2.6673729560793684,1.0,7.0,6.0,1.0,0.0,7.13,6.93,106796.0,66.44,5.0,1.0
STU00017,20.0,Male,Divorced,1.0,0.0,0.0,4.0,4.0,3.0,0.0,9.48,6.13,50000.0,61.26,4.0,1.0
STU00018,33.0,Female,Single,0.0,0.0,1.0,2.0,1.0,2.0,1.0,14.73,13.78,168801.0,92.53,0.0,0.0
STU00019,19.0,Female,Married,0.0,0.0,1.0,9.0,7.0,7.0,4.0,11.51,15.84,50000.0,76.0,0.0,0.0
STU00020,21.0,Male,Single,1.0,0.0,1.0,4.0,4.0,4.0,3.0,11.42,11.83,50000.0,100.0,3.0,0.0
STU00021,34.0,Female,Single,0.0,1.0,1.0,7.0,5.0,6.0,4.0,16.42,16.69,196917.0,86.7,2.0,1.0
STU00022,27.0,Male,Married,1.0,0.0,1.0,6.0,6.0,7.0,4.0,9.47,,188041.0,56.81,5.0,1.0
STU00023,25.0,Male,Single,0.0,0.0,1.0,2.0,1.0,0.0,0.0,12.92,17.85,697915.0,46.51,2.0,0.0
STU00024,26.0,Female,Divorced,1.0,0.0,1.0,0.0,0.0,9.0,9.0,11.59,14.86,249268.0,95.1,2.0,0.0
STU00025,23.0,Male,Single,0.0,0.0,1.0,3.0,1.0,5.0,2.0,20.0,19.22,440780.0,96.12,1.0,0.0
STU00026,,Male,Single,,1.0,0.0,8.0,6.0,8.0,8.0,14.81,17.48,162993.0,59.13,5.0,1.0
